Month,Day,Year,Hour,Minute,Outdoor Temperature (°F),Hourly Rain (in/hr),Solar Radiation (W/m^2)
3,1,2023,12,50,80.4,0,341.2
3,1,2023,12,45,80.4,0,1023.4
3,1,2023,12,40,79.7,0,1104.7
3,1,2023,12,35,80.8,0,897.2
3,1,2023,12,30,78.6,0,584.5
3,1,2023,12,27,79.3,0,613.7
3,1,2023,12,20,79.7,0,374.6
3,1,2023,12,15,80.1,0,401.9
3,1,2023,12,10,77.2,0,1061.3
3,1,2023,12,5,76.3,0,1047
3,1,2023,12,0,76.3,0,1018.1
3,1,2023,11,55,0,0,1008.6
3,1,2023,11,50,0,0,971.5
3,1,2023,11,45,0,0,944
3,1,2023,11,40,0,0,926.8
3,1,2023,11,35,0,0,912.5
3,1,2023,11,30,0,0,900
3,1,2023,11,25,0,0,897.2
3,1,2023,11,20,0,0,893.1
3,1,2023,11,15,0,0,889.1
3,1,2023,11,10,0,0,908.3
3,1,2023,11,5,0,0,904.6
3,1,2023,11,0,0,0,894.2
3,1,2023,10,56,0,0,889.3
3,1,2023,10,50,0,0,882.4
3,1,2023,10,45,0,0,870.2
3,1,2023,10,40,0,0,859.8
3,1,2023,10,35,0,0,848.2
3,1,2023,10,30,0,0,837.4
3,1,2023,10,25,0,0,840.9
3,1,2023,10,20,0,0,802.3
3,1,2023,10,15,0,0,777.1
3,1,2023,10,10,0,0,767.6
3,1,2023,10,5,0,0,749.9
3,1,2023,10,0,0,0,741.8
3,1,2023,9,55,0,0,735.3
3,1,2023,9,50,0,0,726.7
3,1,2023,9,45,0,0,706.5
3,1,2023,9,40,0,0,708
3,1,2023,9,35,0,0,527.6
3,1,2023,9,30,0,0,513.8
3,1,2023,9,28,0,0,518.9
3,1,2023,8,55,0,0,398.3
3,1,2023,8,50,0,0,313.3
3,1,2023,8,45,0,0,250
3,1,2023,8,40,0,0,218
3,1,2023,8,35,0,0,196.1
3,1,2023,8,30,0,0,182.6
3,1,2023,8,25,0,0,173.6
3,1,2023,8,20,0,0,169.1
3,1,2023,8,15,0,0,153.2
3,1,2023,8,10,0,0,145.3
3,1,2023,8,5,0,0,136.5
3,1,2023,8,0,0,0,118.1
3,1,2023,7,55,0,0,111
3,1,2023,7,50,0,0,97.4
3,1,2023,7,45,0,0,87.5
3,1,2023,7,40,0,0,83.5
3,1,2023,7,35,0,0,77.1
3,1,2023,7,30,0,0,64.6
3,1,2023,7,25,0,0,54.7
3,1,2023,7,20,0,0,28.3
3,1,2023,7,15,0,0,25.4
3,1,2023,7,10,0,0,22.3
3,1,2023,7,5,0,0,18.9
3,1,2023,7,0,0,0,15.2
3,1,2023,6,55,55.2,0,11.4
3,1,2023,6,50,55,0,7.5
3,1,2023,6,45,55,0,4.3
3,1,2023,6,40,54.9,0,2
3,1,2023,6,35,54.9,0,0.7
3,1,2023,6,30,54.5,0,0.2
3,1,2023,6,25,55.2,0,0
3,1,2023,6,20,55.4,0,0
3,1,2023,6,15,55.4,0,0
3,1,2023,6,10,55.4,0,0
3,1,2023,6,5,55.2,0,0
3,1,2023,6,0,0,0,0
3,1,2023,5,55,0,0,0
3,1,2023,5,50,55.4,0,0
3,1,2023,5,45,55.4,0,0
3,1,2023,5,40,55.8,0,0
3,1,2023,5,35,0,0,0
3,1,2023,5,30,55.6,0,0
3,1,2023,5,25,55.6,0,0
3,1,2023,5,20,0,0,0
3,1,2023,5,15,55.9,0,0
3,1,2023,5,10,55.8,0,0
3,1,2023,5,5,55.4,0,0
3,1,2023,5,0,55.8,0,0
3,1,2023,4,55,56.1,0,0
3,1,2023,4,50,0,0,0
3,1,2023,4,45,55.8,0,0
3,1,2023,4,40,55.8,0,0
3,1,2023,4,35,56.1,0,0
3,1,2023,4,30,56.1,0,0
3,1,2023,4,25,56.3,0,0
3,1,2023,4,20,56.8,0,0
3,1,2023,4,15,0,0,0
3,1,2023,4,10,57,0,0
3,1,2023,4,5,56.8,0,0
3,1,2023,4,0,56.5,0,0
3,1,2023,3,55,0,0,0
3,1,2023,3,50,0,0,0
3,1,2023,3,45,56.8,0,0
3,1,2023,3,40,0,0,0
3,1,2023,3,35,0,0,0
3,1,2023,3,30,0,0,0
3,1,2023,3,25,57.7,0,0
3,1,2023,3,20,57.6,0,0
3,1,2023,3,15,57.6,0,0
3,1,2023,3,10,58.1,0,0
3,1,2023,3,5,57.9,0,0
3,1,2023,3,0,57.9,0,0
3,1,2023,2,55,57.9,0,0
3,1,2023,2,50,58.3,0,0
3,1,2023,2,45,0,0,0
3,1,2023,2,40,58.8,0,0
3,1,2023,2,35,58.8,0,0
3,1,2023,2,30,59,0,0
3,1,2023,2,25,59.2,0,0
3,1,2023,2,20,0,0,0
3,1,2023,2,15,59.2,0,0
3,1,2023,2,10,59.9,0,0
3,1,2023,2,5,59.9,0,0
3,1,2023,2,0,59.7,0,0
3,1,2023,1,55,59.9,0,0
3,1,2023,1,50,60.1,0,0
3,1,2023,1,45,60.1,0,0
3,1,2023,1,40,60.3,0,0
3,1,2023,1,35,60.3,0,0
3,1,2023,1,30,60.6,0,0
3,1,2023,1,25,60.6,0,0
3,1,2023,1,20,60.8,0,0
3,1,2023,1,15,60.8,0,0
3,1,2023,1,10,60.8,0,0
3,1,2023,1,5,61,0,0
3,1,2023,1,0,61.2,0,0
3,1,2023,0,55,61.2,0,0
3,1,2023,0,50,61.3,0,0
3,1,2023,0,45,61.2,0,0
3,1,2023,0,40,61.3,0,0
3,1,2023,0,35,61.5,0,0
3,1,2023,0,30,61.3,0,0
3,1,2023,0,25,61.3,0,0
3,1,2023,0,21,61.5,0,0
3,1,2023,0,15,61.9,0,0
3,1,2023,0,10,62.2,0,0
3,1,2023,0,5,62.4,0,0
3,1,2023,0,0,62.4,0,0
